"position"	"Aldi.1apos_1.C.7_01_3592"	"Aldi.1bpos_1.C.7_01_3607"	"Blut.1apos_1.C.8_01_3593"	"Tatort.1bpos_1.C.8_01_3608"	"Heinz.1apos_1.C.1_01_3586"	"Heinz.1bpos_1.C.1_01_3601"	"Knorr.1apos_1.C.2_01_3587"	"Knorr.1bpos_1.C.2_01_3602"	"Kraft.1apos_1.C.5_01_3590"	"Kraft.1bpos_1.C.5_01_3605"	"Penny.1apos_1.C.4_01_3589"	"Penny.1bpos_1.C.4_01_3604"	"Purree.1apos_1.C.3_01_3588"	"Purree.1bpos_1.C.3_01_3603"	"Werder.1apos_1.C.6_01_3591"	"Werder.1bpos_1.C.6_01_3606"
"pos_22"	3898.78259999999	3112.7928	375.3108	465.56376	3493.4844	3852.93498947367	31681.3330434782	30733.9109999999	5808.46182857144	4939.56991304349	4518.6927	5677.43903283582	5711.9022	7079.78760000003	5239.61064	4852.64571428571
"pos_32"	2082.13824000001	2540.06125714288	0	0	3539.45399999999	3459.91156363638	2341.29046153846	2537.92476734694	3846.30800000002	3643.45152000002	3176.97300000002	3442.98096000002	5195.89414736843	4852.23360000001	2612.03142857142	2436.27157894736
"pos_41"	1778.75099999998	1489.48597894737	232.719600000001	170.9166	593.453700000001	380.833100000001	2613.03091199999	2024.8872	1084.79115789474	2054.62014545456	3074.69599999999	1454.29092000002	988.94249999999	827.297999999998	2346.67273846152	2365.28351999999
"pos_49"	11475.0985263158	11450.8212413793	0	0	7507.49050434784	8052.28799999998	8234.47839999998	9208.19135999999	0	8611.10857142855	0	0	5336.6496	4052.80545882352	1910.91428571428	0
"pos_50"	22170.4172307692	20531.9778461538	968.852571428571	772.374400000002	10088.4245538461	10606.860288	35716.0895999999	32236.2816000001	20742.3744	19168.1151085714	34001.0657777778	31547.4602666667	37133.8176000001	35474.1075	15280.9696888889	14156.7338769231
"pos_73"	22370.2026666666	22891.5136888888	0	0	284952.338571429	430475.960275862	36627.7400307693	43624.1612444444	310545.909257143	299609.336914286	0	0	100799.032888889	112559.61	34385.3075229358	35052.3206752293
"pos_74"	1899.46254545449	0	0	1140.216	2211.77672727273	2159.27563636364	1713.30799999999	0	0	0	0	0	0	2161.968	1841.28000000001	1892.47600000001
"pos_82"	5508.23135999997	5365.61472000003	3349.12181538461	3363.29050909091	4269.58879999999	5794.85815813953	0	0	4964.42057142857	0	0	0	5071.45043076922	5167.22048000001	5529.62973913043	5163.50571428572
"pos_89"	3155.0568	3449.3492	64.5964799999998	29.6032000000001	1789.648	3657.14312727274	1620.34320000001	1602.6096	2738.33856	4407.495	2677.1316923077	0	3099.34079999999	0	4428.0768	0
"pos_95"	0	2206.97142857143	0	0	0	2575.25965714286	0	0	3208.14880000001	2439.39149999999	2651.81923636363	2247.62914285714	2611.26612000001	2714.61359999998	0	1682.04545454546
"pos_99"	4658.81353846152	2689.47811764704	21870.6777142856	23709.9756521738	0	4501.73886792453	4637.17688888888	4037.14285714289	2276.43670588234	0	0	5192.7661935484	0	3344.09999999999	0	3570.95699999997
"pos_101"	401.084159999994	636.360685714285	0	0	908.414999999998	1077.56174117647	0	0	1387.11952941177	1211.26153846154	629.834399999996	0	1380.54123243243	0	0	0
"pos_104"	2168.4624	1590.0264	726.408	828.03600000001	0	0	2048.7396	1665.49680000002	0	0	0	0	0	0	1191.8472	1361.21039999999
"pos_105"	17630.7335172414	18054.45936	0	0	0	6213.9826909091	18944.7964444444	19751.122944	8681.92080000001	10169.289	25481.0789052631	28773.8280000001	25215.1983999999	29392.4475	13281.5067428571	12357.74208
"pos_111"	0	0	0	0	3056.9235692308	4412.81375999997	1820.46150000001	2140.31368421052	4610.02559999999	4880.80307368417	0	0	5918.12133333342	4754.54262857142	0	0
"pos_124"	0	2818.00855384614	711.686975999998	748.064639999999	1578.313728	1704.83621538461	0	0	0	0	0	0	0	1958.96064000001	1703.57011199999	1691.45942399999
"pos_128"	0	18093.5148	0	0	12483.3348923077	17342.7372	26164.6115555555	28763.5538571429	17435.8860923077	16134.0237333333	40097.9703891892	27534.9954545455	26442.5266666667	22222.2779999999	14099.1968	0
"pos_131"	0	5515.90800000001	0	0	125308.580869565	108849.505000001	0	0	0	0	5036.21485714278	5888.78526315788	1471.61519999999	2163.02200000007	29551.6472727274	29898.6807272728
"pos_133"	302517.763826093	270157.146285719	313305.777391305	299753.373913044	436068.274666673	720058.527457626	805843.851428567	183870.647999994	675683.414943392	269815.479999996	37957.1519999935	234066.372631583	364597.195034486	721474.326646155	520074.172682922	283690.433454551
"pos_138"	291292.030956527	215606.271529406	297568.674782618	291057.652173922	194773.234500002	283279.606956519	261753.339130443	194309.748705885	321331.118400007	214446.526588238	280129.666909091	390921.818181815	221387.505882347	198887.353333329	470405.676307696	1073351.01842698
"pos_140"	282.576000000003	340.335600000002	788.615360000002	0	0	0	0	0	1572.93959999999	0	0	0	745.715657142869	636.468799999992	1052.13408000002	493.877142857147
"pos_142"	38985.3000000039	133820.478315791	0	0	292432.181538458	139820.654399996	489771.602430377	182322.819310344	183466.069999999	395268.654400002	36960.3000000037	134153.070315791	221021.17075862	0	132893.047058823	0
"pos_143"	24640.1414999999	27233.7874285714	924.495900000002	842.305536000001	3015.776448	3300.36432	5530.41599999996	7357.57255384614	5009.07311999999	4273.30799999999	111278.486068966	109047.858206896	23568.0724800001	26810.3719680001	80527.5558620689	85099.6770206899
"pos_151"	39164.6463157901	37091.4640000001	628.698749999999	359.328599999999	15076.2505333334	15718.6620000001	16697.4835200003	17027.20896	14497.3120000001	15003.1437176469	4404.18479999997	4681.17868235293	33758.4127999994	30829.0490823524	8299.88400000003	9390.3546947368
"pos_153"	0	2102.5476	1255.19599999997	0	0	0	0	1635.92533333333	2092.79076923073	1451.184	1373.32799999999	1013.376	1628.88	0	0	0
"pos_158"	0	0	0	4483.24302222222	4149.55626666667	4439.76923076926	6591.03923076923	5849.12284444444	5533.94658461536	4483.24302222222	0	33906.4288000001	0	0	0	0
"pos_163"	5453.06831999999	6225.67991111111	7987.671552	7440.99784615384	5870.70104347826	8764.86617142855	7741.23680000002	8283.7646222222	7638.14545454545	6830.79888000002	0	0	3689.06070000001	4907.09608421053	5978.92909090909	5507.5408
"pos_166"	133443.999000002	338594.560186044	0	0	0	318451.162666665	446137.928571427	296313.490909095	211426.517142859	427484.119322036	126833.557500001	181309.170782612	140246.964000002	186896.346545452	307573.169399997	146003.848421052
"pos_168"	10872.9839999999	11143.876173913	0	0	8698.20369230774	10382.232	9457.60231578943	0	9015.95368421051	10630.2694736842	0	0	9792.95862857147	9378.7344	9964.56468292686	10164.495804878
"pos_169"	22792.8959999932	243374.718967745	0	0	0	0	274141.101176469	178518.801600003	165649.018909091	138590.355789476	133728.547764708	0	225681.822	219808.847999999	28871.959999997	175728.376
"pos_170"	0	656320.099499999	0	0	260631.423000003	222622.791999997	0	188988.91911111	163955.773333333	248572.114758623	0	200512.599999998	510041.636745759	207626.636444446	0	165552.119999991
"pos_173"	10235.9146105263	10605.1184	13622.5428923077	14813.3716615385	11722.8672	12423.8455	11687.9862	11653.4717333333	13190.4108387097	13906.4908965517	0	3924.35279999999	0	0	0	7569.94736842106
"pos_177"	0	0	475.037142857144	458.713200000003	0	0	0	0	0	0	46649.408914286	44473.7244000003	51631.331446154	83722.1667428576	4600.82331428571	3614.5524
"pos_180"	8819.13120000013	7877.35527272728	0	0	0	0	5186.84922352943	4627.0896	0	0	0	1400.44929230768	6688.27399999992	6257.44098461539	3677.16039999996	0
"pos_184"	6637.25284000001	5425.37084444444	5832.79066666667	4838.77759999999	5304.21808695654	7074.28648888888	0	8400.99699999999	6072.24960000003	5673.97350000001	4912.95840000003	4503.5504516129	3482.72279999998	5458.45008000003	6006.92072727274	0
"pos_185"	6264.8032	0	6236.57076923077	0	0	0	6206.3302	0	0	0	6014.98533333333	5888.8158	5942.63179999999	5902.2698	6347.82413333333	5712.85146666667
"pos_187"	218836.1565	169225.209999999	0	0	0	0	0	0	168761.184999999	135220.8492	216487.971096774	0	226873.368	324680.524363637	192996.960000001	0
"pos_188"	0	0	206371.721538463	189104.843076924	168039.659076924	209269.661538464	191251.467692304	200271.150461538	0	190667.121428571	0	177627.467076919	0	0	0	173960.420307694
"pos_189"	0	1881.4284	0	0	0	0	11016.1424347826	11483.3504	12287.106	10932.6348631579	0	3016.61099999997	0	0	10889.2052210527	10489.378
"pos_190"	193774.929230773	316351.907720933	0	0	146855.538285716	0	285951.012324326	160958.560799997	169471.443130433	0	154726.402285715	236353.299636367	134373.238666666	163863.957714286	125113.876235296	142884.007199997
"pos_191"	112066.745000001	90095.4988235288	0	0	0	138475.134	93275.5200000009	180866.763636362	84903.5936842104	30346.1760000007	103220.882285716	69876.2142857148	210981.934956522	516353.104373832	451170.005886792	133772.301
"pos_192"	2663.3129361702	0	0	0	0	0	0	1997.81131636364	2589.00436363637	1445.3892	2674.15387826087	3201.45428571429	2221.51222222222	1913.50307368421	2581.4388	1970.36577391304
"pos_196"	1757.95199999998	1970.91333333329	1424.99039999998	1783.07142857144	0	0	2484.34105263156	0	2216.55999999998	1678.68872727273	0	0	0	0	1977.53684210522	1190.78399999993
"pos_197"	11888.8379999999	10851.7000615384	0	0	7437.47170909094	7850.40899999999	0	0	23057.104896	23101.507584	0	20136.0488571428	75198.7329882353	79934.1746666669	0	20107.00016
"pos_200"	300508.611764703	306376.493538461	0	0	0	0	126318.727999999	136671.853333335	202015.963636362	146979.234782607	142823.160000002	83045.7599999967	0	187067.742857142	171118.336000003	0
"pos_211"	0	3595.57680000002	0	0	4941.16070399999	6219.77404444443	0	0	7439.19051428567	7654.20815999999	82275.8112000002	78923.5103999999	0	0	10139.0714181819	10158.0280421054
"pos_213"	137270.652480001	143403.945230766	160113.335040001	145910.675520001	128793.369600001	0	0	0	0	0	139970.691692308	134308.716923078	0	0	0	132797.315519999
"pos_216"	0	2982.30839999997	0	0	1823.4235	0	2928.1595076923	0	4709.6	3942.62827826088	2473.21279999999	1912.26	0	2814.69634285713	5265.78000000001	6042.34266666664
"pos_217"	0	0	0	0	0	201543.610909089	131864.642181819	143264.034782611	162373.551999998	104371.696000001	0	0	186722.503999999	127706.517714284	112974.513142859	0
"pos_218"	0	0	0	0	22903.1010000003	26317.9800000003	0	4288.70399999997	12684.542117647	11547.5742857144	29389.7564999997	27415.4555294121	0	0	48257.2291764703	45665.9661176467
"pos_219"	9235.10015999999	8689.27714285714	1272.422976	1453.14	4408.51320000001	4835.51135999999	7456.76099999998	7586.83591111109	6584.47658181816	5176.13850000002	13572.79872	16072.97664	13901.7060000001	10969.0462	4436.64166956523	7090.78499999998
"pos_225"	4063.712	0	9003.4096	6285.32290909091	4422.2952	4814.47079999999	4701.17699999998	5738.49119999999	5578.30742857144	4887.07391999998	3772.80514285713	0	5856.6842181818	5784.99895384616	0	5089.82399999998
"pos_228"	4772.54551578947	5567.14697142859	0	0	5704.540992	6717.87417600002	0	5615.02188	0	0	6578.97445161289	0	10062.2981793103	8673.0482181818	11097.0862153846	11083.0936888889
"pos_231"	0	0	207.236894117647	421.113882352942	1691.53750588235	0	0	1552.93101176471	2475.55764705883	0	2342.24470588235	2075.2780235294	2877.23181176472	0	0	0
"pos_233"	6220.77881379311	4788.6934736842	0	0	3542.73075555555	0	4841.36954482759	5318.89326666667	5850.18902068966	4917.71815384616	6726.41915294117	5930.69951999999	5543.46	5948.77564137931	6726.36874285716	6137.15577931035
"pos_246"	29796.9663999999	0	0	0	24070.7914285713	34071.1298086958	37427.3978399998	35399.6307	0	41281.4995534886	0	0	65953.4127652177	97448.4671999995	0	9858.64506666676
"pos_252"	910.861714285694	0	1393.69263157897	0	1089.98399999999	1071.9466666667	2229.34729411768	2044.14000000002	2299.30870588234	2181.66052173914	2429.74080000001	2541.48282352939	1778.75099999998	1562.24160000002	0	903.160000000072
