"pos_05_Brarut_1.A.6_01_7401"	"pos_10_Brarut_1.B.3_01_7408"	"pos_15_Calcus_1.B.8_01_7415"	"pos_17_Calcus_1.C.2_01_7417"	"pos_01_Fistax_1.A.2_01_7396"	"pos_02_Fistax_1.A.3_01_7398"	"pos_04_Gripul_1.A.5_01_7400"	"pos_23_Gripul_1.C.8_01_7425"	"pos_09_Hypcup_1.B.2_01_7407"	"pos_21_Hypcup_1.C.6_01_7421"	"pos_25_Marpol_1.D.2_01_7427"	"pos_26_Marpol_1.D.3_01_7428"	"pos_12_Plaund_1.B.5_01_7410"	"pos_13_Plaund_1.B.6_01_7411"	"pos_06_Polstr_1.A.7_01_7402"	"pos_07_Polstr_1.A.8_01_7403"
7.751093	7.532644	8.214713	8.132316	7.801692	8.242572	8.635211	8.623295	8.335578	7.85234	8.374922	9.050796	8.080315	7.6015	8.696961	8.546938
8.037618	7.66859	6.996288	7.160857	7.568005	8.199708	7.367587	8.773558	7.938534	7.850855	8.114181	8.841625	8.094451	7.934091	7.868925	7.365312
7.948569	8.239255	8.49664	8.573028	7.704821	8.533063	8.021531	8.810892	8.387474	7.950441	8.119624	8.565994	8.106712	8.083839	7.978478	8.859293
7.760733	7.927946	7.98525	7.898258	7.844461	8.062703	8.378261	7.96235	8.026938	8.115849	7.687152	7.824286	7.831257	7.620493	7.607047	7.619811
7.95746	8.265385	7.732709	7.709527	7.320966	8.165311	7.722794	8.913132	8.35233	8.302684	7.634376	7.607036	7.571234	7.520222	7.266615	7.492765
7.835209	7.731856	8.417788	9.163676	8.238664	7.693212	8.38896	8.557247	8.476145	8.64706	7.621951	7.694895	7.987307	8.424938	8.135655	7.817645
8.031957	7.988448	7.788689	7.776361	7.334214	7.918314	7.685172	7.958236	7.857163	7.743256	7.714731	7.769287	7.79258	7.600312	7.760447	7.654481
7.721771	7.627365	8.018842	7.29644	7.151729	7.581056	7.825313	7.654959	7.953878	7.773419	7.474345	8.003387	7.608748	7.900814	7.50849	7.57851
7.954635	8.723599	7.350439	8.073071	7.398434	7.920262	7.798404	0	8.817142	7.880804	7.995616	7.862205	8.618291	8.651979	7.879534	7.914393
7.436301	8.061431	7.489576	7.217642	8.041735	8.199985	8.098571	7.594603	7.582527	7.613022	8.330443	7.743984	7.735118	7.700386	7.733789	7.61783
7.928435	9.225086	5.743465	9.711575	0	7.415892	12.12516	0	9.417159	0	0	6.556187	8.565206	9.821057	0	0
7.965145	7.807951	7.901416	7.75973	7.540056	7.929014	7.77738	7.805944	7.98738	7.789877	8.050453	7.835884	7.733796	7.972239	7.706745	7.561604
7.88448	7.707542	7.82921	7.649076	7.87259	8.012887	7.583724	7.742866	7.595437	7.964679	7.023135	7.619316	8.015487	7.733507	7.549121	7.05171
7.842116	7.629163	7.687773	8.102145	7.41346	7.763085	7.621021	7.716314	7.707378	7.981124	8.009367	8.169926	7.45102	7.337526	7.724967	7.904769
0	6.812583	0	0	0	0	0	0	6.809622	0	9.169174	9.509206	6.667689	0	8.639739	5.668611
8.047233	8.576437	8.170427	7.712686	7.368708	6.748881	9.103536	10.563095	7.745003	8.087552	7.427304	7.606774	7.862425	8.225767	8.787987	6.741251
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	8.213747	7.597438	0	0	0	0	7.464714	0	0	0	0	7.714291	8.805246
8.403069	8.276868	8.832205	8.153661	7.908481	8.309062	8.921025	8.702582	8.605384	8.672603	7.948046	8.282892	8.532184	8.319284	8.174279	8.393896
6.726003	7.885909	7.868164	7.696118	6.895404	8.072436	0	6.857388	6.554517	7.494641	8.389173	8.011555	6.390162	7.324731	0	7.814479
8.973177	7.758523	7.595654	8.331067	8.695331	8.869042	8.287381	7.97385	7.499242	8.95902	8.134855	8.057927	8.115989	7.581157	6.940416	0
8.540772	8.359635	8.670351	8.632107	8.87173	8.457667	8.628053	8.531358	9.087161	8.646586	8.341361	8.902684	8.579876	8.616384	8.465836	8.69541
